Journal title,Eligible,NLM TA,pISSN,eISSN,Publisher,LOCATORplus ID,Latest issue,Earliest volume,Free access,Open access,Participation level, Deposit status, Journal URL
3 Biotech,0,3 Biotech,2190-572X,2190-5738,Springer,101565857,v.9(3);Mar 2019,v.1;2011,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/1811/
3D Printing in Medicine,0,3D Print Med,,2365-6271,BioMed Central,101721758,v.4;Dec 2018,v.2;2016,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3516/
The AAPS Journal,0,AAPS J,,1550-7416,American Association of Pharmaceutical Scientists,101223209,v.18(3);May 2016,v.6;2004,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/792/
AAPS PharmSci,0,AAPS PharmSci,,1522-1059,American Association of Pharmaceutical Scientists,100897065,v.6(2);Jun 2004,v.1;1999,Immediate,No, Full , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/journals/989/
AAPS PharmSciTech,0,AAPS PharmSciTech,,1530-9932,American Association of Pharmaceutical Scientists,100960111,v.17(2);Apr 2016,v.1;2000,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/793/
Academic Pathology,0,Acad Pathol,,2374-2895,SAGE Publications,101698648,v.5;Jan-Dec 2018,v.1;2014,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3234/
ACG Case Reports Journal,0,ACG Case Rep J,,2326-3253,American College of Gastroenterology,101638398,v.5;2018,v.1;2013,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2725/
ACS Central Science,0,ACS Cent Sci,2374-7943,2374-7951,American Chemical Society,101660035,"v.5(1);Jan 23, 2019",v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2967/
ACS Chemical Neuroscience,0,ACS Chem Neurosci,,1948-7193,American Chemical Society,101525337,"v.5(8);Aug 20, 2014",v.1;2010,,Some, Full , No New Content ,http://www.ncbi.nlm.nih.gov/pmc/journals/1791/
ACS Medicinal Chemistry Letters,0,ACS Med Chem Lett,,1948-5875,American Chemical Society,101521073,"v.10(1);Jan 10, 2019",v.1;2010,12 months or less,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2426/
Acta Biochimica et Biophysica Sinica,0,Acta Biochim Biophys Sin (Shanghai),1672-9145,1745-7270,Oxford University Press,101206716,v.50(10);Oct 2018,v.41;2009,12 months,Some, NIH Portfolio , ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Biochim+Biophys+Sin+(Shanghai)%22%5Bjournal%5D
Acta Biomaterialia Odontologica Scandinavica,0,Acta Biomater Odontol Scand,,2333-7931,Taylor &#x0026; Francis,101681462,v.5(1);2019,v.1;2015,Immediate,All, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/3214/
Acta Cardiologica Sinica,0,Acta Cardiol Sin,1011-6842,,Taiwan Society of Cardiology,101687085,v.35(1);Jan 2019,v.29;2013,Immediate,No, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2910/
Acta Crystallographica Section A: Foundations of Crystallography,0,Acta Crystallogr A,0108-7673,1600-5724,International Union of Crystallography,8305825,"v.69(Pt 5);Sep 1, 2013",v.63;2007,12 months,Some, NIH Portfolio , Predecessor ,http://www.ncbi.nlm.nih.gov/pmc/?term=%22Acta+Crystallogr+A%22%5Bjournal%5D
